Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,VelcroPhysics,VelcroPhysics.Dynamics,BreakableBody,"PostSolve(Contact contact, ContactVelocityConstraint impulse)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,158,469,0,887,0,0,0,0,0,4,0,0,79,25,0,0,0,0,2,2,2,0,3,4
Long Method,VelcroPhysics,VelcroPhysics.Dynamics,BreakableBody,Update(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,158,469,0,887,0,0,0,0,0,4,0,0,79,25,0,0,0,0,0,0,0,1,3,4
Long Method,VelcroPhysics,VelcroPhysics.Dynamics,BreakableBody,Decompose(),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,158,469,0,887,0,0,0,0,0,4,0,0,79,25,0,0,0,0,0,3,2.1666666666666665,0,3,4
Long Method,VelcroPhysics,VelcroPhysics.Dynamics,BreakableBody,Break(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,158,469,0,887,0,0,0,0,0,4,0,0,79,25,0,0,0,0,0,0,0,0,3,4
Long Method,VelcroPhysics,VelcroPhysics,Settings,"MixFriction(float friction1, float friction2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,158,469,2,887,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,2,2,0,0,0
Long Method,VelcroPhysics,VelcroPhysics,Settings,"MixRestitution(float restitution1, float restitution2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,158,469,2,887,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0
